offset,value,name
-39600,International Date Line West,(GMT-11:00) International Date Line West
-39600,Midway Island,(GMT-11:00) Midway Island
-39600,Samoa,(GMT-11:00) Samoa
-36000,Hawaii,(GMT-10:00) Hawaii
-28800,Alaska,(GMT-08:00) Alaska
-25200,Pacific Time (US & Canada),(GMT-07:00) Pacific Time (US & Canada)
-25200,Tijuana,(GMT-07:00) Tijuana
-25200,Arizona,(GMT-07:00) Arizona
-21600,Mountain Time (US & Canada),(GMT-06:00) Mountain Time (US & Canada)
-21600,Chihuahua,(GMT-06:00) Chihuahua
-21600,Mazatlan,(GMT-06:00) Mazatlan
-21600,Saskatchewan,(GMT-06:00) Saskatchewan
-21600,Central America,(GMT-06:00) Central America
-18000,Central Time (US & Canada),(GMT-05:00) Central Time (US & Canada)
-18000,Guadalajara,(GMT-05:00) Guadalajara
-18000,Mexico City,(GMT-05:00) Mexico City
-18000,Monterrey,(GMT-05:00) Monterrey
-18000,Bogota,(GMT-05:00) Bogota
-18000,Lima,(GMT-05:00) Lima
-18000,Quito,(GMT-05:00) Quito
-14400,Eastern Time (US & Canada),(GMT-04:00) Eastern Time (US & Canada)
-14400,Indiana (East),(GMT-04:00) Indiana (East)
-14400,Caracas,(GMT-04:00) Caracas
-14400,La Paz,(GMT-04:00) La Paz
-14400,Georgetown,(GMT-04:00) Georgetown
-10800,Atlantic Time (Canada),(GMT-03:00) Atlantic Time (Canada)
-10800,Santiago,(GMT-03:00) Santiago
-10800,Brasilia,(GMT-03:00) Brasilia
-10800,Buenos Aires,(GMT-03:00) Buenos Aires
-9000,Newfoundland,(GMT-02:30) Newfoundland
-7200,Greenland,(GMT-02:00) Greenland
-7200,Mid-Atlantic,(GMT-02:00) Mid-Atlantic
-3600,Cape Verde Is.,(GMT-01:00) Cape Verde Is.
0,Azores,(GMT) Azores
0,Monrovia,(GMT) Monrovia
0,UTC,(GMT) UTC
3600,Dublin,(GMT+01:00) Dublin
3600,Edinburgh,(GMT+01:00) Edinburgh
3600,Lisbon,(GMT+01:00) Lisbon
3600,London,(GMT+01:00) London
3600,Casablanca,(GMT+01:00) Casablanca
3600,West Central Africa,(GMT+01:00) West Central Africa
7200,Belgrade,(GMT+02:00) Belgrade
7200,Bratislava,(GMT+02:00) Bratislava
7200,Budapest,(GMT+02:00) Budapest
7200,Ljubljana,(GMT+02:00) Ljubljana
7200,Prague,(GMT+02:00) Prague
7200,Sarajevo,(GMT+02:00) Sarajevo
7200,Skopje,(GMT+02:00) Skopje
7200,Warsaw,(GMT+02:00) Warsaw
7200,Zagreb,(GMT+02:00) Zagreb
7200,Brussels,(GMT+02:00) Brussels
7200,Copenhagen,(GMT+02:00) Copenhagen
7200,Madrid,(GMT+02:00) Madrid
7200,Paris,(GMT+02:00) Paris
7200,Amsterdam,(GMT+02:00) Amsterdam
7200,Berlin,(GMT+02:00) Berlin
7200,Bern,(GMT+02:00) Bern
7200,Rome,(GMT+02:00) Rome
7200,Stockholm,(GMT+02:00) Stockholm
7200,Vienna,(GMT+02:00) Vienna
7200,Cairo,(GMT+02:00) Cairo
7200,Harare,(GMT+02:00) Harare
7200,Pretoria,(GMT+02:00) Pretoria
10800,Bucharest,(GMT+03:00) Bucharest
10800,Helsinki,(GMT+03:00) Helsinki
10800,Kiev,(GMT+03:00) Kiev
10800,Kyiv,(GMT+03:00) Kyiv
10800,Riga,(GMT+03:00) Riga
10800,Sofia,(GMT+03:00) Sofia
10800,Tallinn,(GMT+03:00) Tallinn
10800,Vilnius,(GMT+03:00) Vilnius
